🐦️｜好听的歌,#genre#
世界第一等,http://52bsj.vip:81/api/v3/file/get/97712/%E4%B8%96%E7%95%8C%E7%AC%AC%E4%B8%80%E7%AD%891080P.mp4?sign=yfyEXgwHSQyoHzhqxAr-bxqgEtzxwmitGkOVfWPDKIY%3D%3A0
晚风心里吹,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
笑红尘,http://52bsj.vip:81/api/v3/file/get/97713/ba22f6ad1be11c9679f19bc8d866da15.mp4?sign=7T4la_UuJ8JzHAVur7ltNQwo6MqSkg5lQ6u2yh3XjOU%3D%3A0
沧海一声笑,http://52bsj.vip:81/api/v3/file/get/129480/%E6%B2%A7%E6%B5%B7%E4%B8%80%E5%A3%B0%E7%AC%91.mp4?sign=xePyCzwnjsEkFhQ16uNlI2ndDiyOUnTptvBgj5DAXqE%3D%3A0

🇨🇳｜精品央视,#genre#
CCTV-1 综合,https://cntv.sbs/tv?auth=231005&id=cctv1
CCTV-2 财经,https://cntv.sbs/tv?auth=231005&id=cctv2
CCTV-3 综艺,https://cntv.sbs/tv?auth=231005&id=cctv3
CCTV-4 中文国际,https://cntv.sbs/tv?auth=231005&id=cctv4
CCTV-5 体育,https://cntv.sbs/tv?auth=231005&id=cctv5
CCTV-5+ 体育赛事,https://cntv.sbs/tv?auth=231005&id=cctv5p
CCTV-6 电影,https://cntv.sbs/tv?auth=231005&id=cctv6
CCTV-7 国防军事,https://cntv.sbs/tv?auth=231005&id=cctv7
CCTV-8 电视剧,https://cntv.sbs/tv?auth=231005&id=cctv8
CCTV-9 纪录,https://cntv.sbs/tv?auth=231005&id=cctv9
CCTV-10 科教,https://cntv.sbs/tv?auth=231005&id=cctv10
CCTV-11 戏曲,https://cntv.sbs/tv?auth=231005&id=cctv11
CCTV-12 社会与法,https://cntv.sbs/tv?auth=231005&id=cctv12
CCTV-13 新闻,https://cntv.sbs/tv?auth=231005&id=cctv13
CCTV-14 少儿,https://cntv.sbs/tv?auth=231005&id=cctv14
CCTV-15 音乐,https://cntv.sbs/tv?auth=231005&id=cctv15
CCTV-16 奥林匹克,https://cntv.sbs/tv?auth=231005&id=cctv16
CCTV-17 农业农村,https://cntv.sbs/tv?auth=231005&id=cctv17
CCTV-4K 超高清,https://cntv.sbs/tv?auth=231005&id=cctv4k
CCTV-16 4K,https://cntv.sbs/tv?auth=231005&id=cctv164k

🇨🇳｜央视,#genre#
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV-4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV-5+,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV-7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV-8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV-9,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV-10,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV-11,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV-12,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV-13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV-14,http://125.210.152.19:9120/live/hzgq-cctvsegq-h264.m3u8
CCTV-15,http://125.210.152.19:9120/live/hzgq-cctvmusicgq-h264.m3u8
CCTV-16,http://125.210.152.19:9120/live/hzgq-cctv16gq-h264.m3u8
CCTV-17,http://125.210.152.19:9120/live/hzgq-cctv17gq-h264.m3u8
CCTV-1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV-5,http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8
CCTV-6,http://222.71.90.218:8888/newlive/live/hls/7/live.m3u8
CCTV-10,http://222.71.90.218:8888/newlive/live/hls/11/live.m3u8
CCTV-14,http://222.71.90.218:8888/newlive/live/hls/15/live.m3u8
CCTV-17,http://222.71.90.218:8888/newlive/live/hls/58/live.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
